INFO 2026-06-21 22:10:48,792 autoreload Watching for file changes with StatReloader
INFO 2026-06-22 00:25:52,428 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:25:53,360 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-22 00:25:53,364 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-22 00:25:53,366 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-22 00:25:53,368 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-22 00:25:53,372 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-22 00:25:53,381 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-22 00:26:18,579 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:26:18,627 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:34:16,984 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:34:16,985 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:34:16,988 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:34:16,989 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:34:17,073 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:34:17,101 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:34:17,159 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-22 00:34:17,169 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-22 00:34:17,176 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-22 00:34:17,183 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-22 00:34:17,185 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-22 00:34:17,210 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-22 00:35:21,620 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:35:21,620 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:35:21,621 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:35:21,636 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:35:21,687 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:35:21,712 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:35:21,751 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-22 00:35:21,773 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-22 00:35:21,777 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-22 00:35:21,804 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-22 00:35:21,821 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-22 00:35:21,832 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-22 00:38:08,970 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:38:08,971 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:44:34,678 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:44:34,683 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:44:34,688 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:44:34,700 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:44:34,752 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:44:34,760 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:44:35,792 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-22 00:44:35,797 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-22 00:44:35,800 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-22 00:44:35,813 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-22 00:44:35,816 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-22 00:44:35,819 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-22 01:14:15,847 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:14:15,851 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:14:15,851 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:14:15,852 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:14:15,906 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:14:15,922 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:19:02,966 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:19:02,986 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:19:02,987 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:19:03,005 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:19:03,055 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:19:03,067 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:20:36,792 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:20:36,804 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:20:36,808 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:20:36,808 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:20:36,859 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:20:36,862 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:22:15,072 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:22:15,072 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:22:15,073 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:22:15,074 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:22:15,141 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:22:15,141 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:22:22,511 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:22:22,518 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:22:22,518 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 01:22:22,589 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 01:22:22,640 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 01:22:22,648 basehttp "GET /api/home/ HTTP/1.1" 200 17517
